"Step","Attempt23 - Episode_Termination/base_contact","Attempt23 - Episode_Termination/base_contact__MIN","Attempt23 - Episode_Termination/base_contact__MAX"
"6","3.3333334922790527","3.3333334922790527","3.3333334922790527"
"7","3.0833334922790527","3.0833334922790527","3.0833334922790527"
"8","3.3333334922790527","3.3333334922790527","3.3333334922790527"
"9","3.6666667461395264","3.6666667461395264","3.6666667461395264"
"15","4.5","4.5","4.5"
"16","4.583333492279053","4.583333492279053","4.583333492279053"
"18","8.75","8.75","8.75"
"19","14.166666984558105","14.166666984558105","14.166666984558105"
"21","23.875","23.875","23.875"
"23","25.916667938232422","25.916667938232422","25.916667938232422"
"28","23.25","23.25","23.25"
"31","18.875","18.875","18.875"
"32","20","20","20"
"33","18.291667938232422","18.291667938232422","18.291667938232422"
"35","16.166667938232422","16.166667938232422","16.166667938232422"
"37","14.708333969116211","14.708333969116211","14.708333969116211"
"39","17.541667938232422","17.541667938232422","17.541667938232422"
"40","17.25","17.25","17.25"
"41","17.75","17.75","17.75"
"42","17.375","17.375","17.375"
"45","16.166667938232422","16.166667938232422","16.166667938232422"
"46","16.58333396911621","16.58333396911621","16.58333396911621"
"48","14.833333969116211","14.833333969116211","14.833333969116211"
"49","14.583333969116211","14.583333969116211","14.583333969116211"
"50","11.708333969116211","11.708333969116211","11.708333969116211"
"53","8.791666984558105","8.791666984558105","8.791666984558105"
"58","7.333333492279053","7.333333492279053","7.333333492279053"
"60","9.083333969116211","9.083333969116211","9.083333969116211"
"61","10.375","10.375","10.375"
"63","12.416666984558105","12.416666984558105","12.416666984558105"
"64","13.166666984558105","13.166666984558105","13.166666984558105"
"65","13.875","13.875","13.875"
"68","11.875","11.875","11.875"
"70","11","11","11"
"71","10.5","10.5","10.5"
"72","9.166666984558105","9.166666984558105","9.166666984558105"
"73","7.958333492279053","7.958333492279053","7.958333492279053"
"75","7.125","7.125","7.125"
"77","6.6666669845581055","6.6666669845581055","6.6666669845581055"
"81","5.0416669845581055","5.0416669845581055","5.0416669845581055"
"83","5.125","5.125","5.125"
"85","5.75","5.75","5.75"
"87","5.458333492279053","5.458333492279053","5.458333492279053"
"90","5.125","5.125","5.125"
"92","4.583333492279053","4.583333492279053","4.583333492279053"
"93","5.0416669845581055","5.0416669845581055","5.0416669845581055"
"94","4.875","4.875","4.875"
"96","2.7083334922790527","2.7083334922790527","2.7083334922790527"
"98","3.375","3.375","3.375"
"100","2.75","2.75","2.75"
"101","2.5416667461395264","2.5416667461395264","2.5416667461395264"
"105","5","5","5"
"107","5.6666669845581055","5.6666669845581055","5.6666669845581055"
"110","4.458333492279053","4.458333492279053","4.458333492279053"
