"Step","Attempt23 - Episode_Reward/payload_2_target","Attempt23 - Episode_Reward/payload_2_target__MIN","Attempt23 - Episode_Reward/payload_2_target__MAX"
"2","-1.8159889236812887e-7","-1.8159889236812887e-7","-1.8159889236812887e-7"
"3","-9.711214232765997e-8","-9.711214232765997e-8","-9.711214232765997e-8"
"4","2.1574077635477806e-8","2.1574077635477806e-8","2.1574077635477806e-8"
"5","-0.00012642152432817966","-0.00012642152432817966","-0.00012642152432817966"
"10","1.277122976262035e-7","1.277122976262035e-7","1.277122976262035e-7"
"11","-0.0003915208508260548","-0.0003915208508260548","-0.0003915208508260548"
"14","7.168378033384215e-7","7.168378033384215e-7","7.168378033384215e-7"
"15","-0.002179244998842478","-0.002179244998842478","-0.002179244998842478"
"16","-0.001162249594926834","-0.001162249594926834","-0.001162249594926834"
"17","-0.000008107052963168826","-0.000008107052963168826","-0.000008107052963168826"
"18","-0.0005574383540078998","-0.0005574383540078998","-0.0005574383540078998"
"20","-0.00041535295895300806","-0.00041535295895300806","-0.00041535295895300806"
"21","-0.0003488735528662801","-0.0003488735528662801","-0.0003488735528662801"
"22","-0.0008738149772398174","-0.0008738149772398174","-0.0008738149772398174"
"24","-0.0009846483590081334","-0.0009846483590081334","-0.0009846483590081334"
"25","-0.0010332148522138596","-0.0010332148522138596","-0.0010332148522138596"
"27","-0.0024715547915548086","-0.0024715547915548086","-0.0024715547915548086"
"29","-0.0010173539631068707","-0.0010173539631068707","-0.0010173539631068707"
"32","-0.003579116426408291","-0.003579116426408291","-0.003579116426408291"
"34","-0.0025853924453258514","-0.0025853924453258514","-0.0025853924453258514"
"36","-0.002096720039844513","-0.002096720039844513","-0.002096720039844513"
"38","-0.00997377559542656","-0.00997377559542656","-0.00997377559542656"
"39","-0.003428567200899124","-0.003428567200899124","-0.003428567200899124"
"44","-0.005136147141456604","-0.005136147141456604","-0.005136147141456604"
"46","-0.00864007230848074","-0.00864007230848074","-0.00864007230848074"
"48","-0.0189595315605402","-0.0189595315605402","-0.0189595315605402"
"50","-0.022147301584482193","-0.022147301584482193","-0.022147301584482193"
"53","-0.04235775023698807","-0.04235775023698807","-0.04235775023698807"
"54","-0.01877848617732525","-0.01877848617732525","-0.01877848617732525"
"55","-0.045658599585294724","-0.045658599585294724","-0.045658599585294724"
"57","-0.0750184953212738","-0.0750184953212738","-0.0750184953212738"
"58","-0.07362543046474457","-0.07362543046474457","-0.07362543046474457"
"59","-0.0612371489405632","-0.0612371489405632","-0.0612371489405632"
"61","-0.09330473840236664","-0.09330473840236664","-0.09330473840236664"
"63","-0.08655975759029388","-0.08655975759029388","-0.08655975759029388"
"64","-0.08326515555381775","-0.08326515555381775","-0.08326515555381775"
"68","-0.08482033014297485","-0.08482033014297485","-0.08482033014297485"
"69","-0.05788654088973999","-0.05788654088973999","-0.05788654088973999"
"70","-0.09401163458824158","-0.09401163458824158","-0.09401163458824158"
"75","-0.0789719745516777","-0.0789719745516777","-0.0789719745516777"
"76","-0.1365472674369812","-0.1365472674369812","-0.1365472674369812"
"79","-0.10828280448913574","-0.10828280448913574","-0.10828280448913574"
"82","-0.20843592286109924","-0.20843592286109924","-0.20843592286109924"
"85","-0.21830354630947113","-0.21830354630947113","-0.21830354630947113"
"86","-0.18609151244163513","-0.18609151244163513","-0.18609151244163513"
"89","-0.2391328513622284","-0.2391328513622284","-0.2391328513622284"
"90","-0.12038900703191757","-0.12038900703191757","-0.12038900703191757"
"91","-0.1258898228406906","-0.1258898228406906","-0.1258898228406906"
"92","-0.15531180799007416","-0.15531180799007416","-0.15531180799007416"
"93","-0.210322305560112","-0.210322305560112","-0.210322305560112"
"95","-0.15919630229473114","-0.15919630229473114","-0.15919630229473114"
"97","-0.1338004320859909","-0.1338004320859909","-0.1338004320859909"
"101","-0.16434438526630402","-0.16434438526630402","-0.16434438526630402"
"102","-0.14295291900634766","-0.14295291900634766","-0.14295291900634766"
"104","-0.1887398213148117","-0.1887398213148117","-0.1887398213148117"
"105","-0.10169631242752075","-0.10169631242752075","-0.10169631242752075"
"107","-0.11186715215444565","-0.11186715215444565","-0.11186715215444565"
"108","-0.13680486381053925","-0.13680486381053925","-0.13680486381053925"
"109","-0.12395518273115158","-0.12395518273115158","-0.12395518273115158"
"110","-0.11333867907524109","-0.11333867907524109","-0.11333867907524109"
"112","-0.06603741645812988","-0.06603741645812988","-0.06603741645812988"
"113","-0.13958925008773804","-0.13958925008773804","-0.13958925008773804"
"116","-0.12009100615978241","-0.12009100615978241","-0.12009100615978241"
"117","-0.07526283711194992","-0.07526283711194992","-0.07526283711194992"
"119","-0.08286945521831512","-0.08286945521831512","-0.08286945521831512"
"120","-0.07249397784471512","-0.07249397784471512","-0.07249397784471512"
"123","-0.008329331874847412","-0.008329331874847412","-0.008329331874847412"
"126","-0.0354347825050354","-0.0354347825050354","-0.0354347825050354"
"128","-0.07977687567472458","-0.07977687567472458","-0.07977687567472458"
"130","0.01409454457461834","0.01409454457461834","0.01409454457461834"
"131","0.007768470328301191","0.007768470328301191","0.007768470328301191"
"133","-0.08771322667598724","-0.08771322667598724","-0.08771322667598724"
"134","-0.11862339079380035","-0.11862339079380035","-0.11862339079380035"
"137","-0.052858322858810425","-0.052858322858810425","-0.052858322858810425"
"139","-0.16492962837219238","-0.16492962837219238","-0.16492962837219238"
"140","-0.11028613150119781","-0.11028613150119781","-0.11028613150119781"
"141","-0.10383834689855576","-0.10383834689855576","-0.10383834689855576"
"142","-0.015295247547328472","-0.015295247547328472","-0.015295247547328472"
"143","-0.19419199228286743","-0.19419199228286743","-0.19419199228286743"
"144","-0.19042067229747772","-0.19042067229747772","-0.19042067229747772"
"145","-0.16886362433433533","-0.16886362433433533","-0.16886362433433533"
"146","-0.17614072561264038","-0.17614072561264038","-0.17614072561264038"
"147","-0.08302439749240875","-0.08302439749240875","-0.08302439749240875"
"150","-0.21089336276054382","-0.21089336276054382","-0.21089336276054382"
"151","-0.1749642789363861","-0.1749642789363861","-0.1749642789363861"
"154","-0.17262063920497894","-0.17262063920497894","-0.17262063920497894"
"155","-0.14154016971588135","-0.14154016971588135","-0.14154016971588135"
"156","-0.07303965091705322","-0.07303965091705322","-0.07303965091705322"
"158","-0.19593286514282227","-0.19593286514282227","-0.19593286514282227"
"161","-0.1722080558538437","-0.1722080558538437","-0.1722080558538437"
"162","-0.15041440725326538","-0.15041440725326538","-0.15041440725326538"
"164","-0.25155124068260193","-0.25155124068260193","-0.25155124068260193"
