"Step","0.4Blind - Episode_Reward/payload_2_target","0.4Blind - Episode_Reward/payload_2_target__MIN","0.4Blind - Episode_Reward/payload_2_target__MAX"
"1","0.000019219845853513107","0.000019219845853513107","0.000019219845853513107"
"2","0.00014925672439858317","0.00014925672439858317","0.00014925672439858317"
"3","0.000036557496059685946","0.000036557496059685946","0.000036557496059685946"
"4","0.00008281474583782256","0.00008281474583782256","0.00008281474583782256"
"5","0.0003622937947511673","0.0003622937947511673","0.0003622937947511673"
"6","-0.0009717051289044321","-0.0009717051289044321","-0.0009717051289044321"
"7","0.0004644477739930153","0.0004644477739930153","0.0004644477739930153"
"8","-0.0004267161129973829","-0.0004267161129973829","-0.0004267161129973829"
"9","0.00038517368375323713","0.00038517368375323713","0.00038517368375323713"
"10","0.0004507988633122295","0.0004507988633122295","0.0004507988633122295"
"11","-0.00980866327881813","-0.00980866327881813","-0.00980866327881813"
"12","-0.00027746259002014995","-0.00027746259002014995","-0.00027746259002014995"
"13","-0.0037713474594056606","-0.0037713474594056606","-0.0037713474594056606"
"14","-0.0009244660614058375","-0.0009244660614058375","-0.0009244660614058375"
"15","-0.0033465742599219084","-0.0033465742599219084","-0.0033465742599219084"
"16","-0.0034895497374236584","-0.0034895497374236584","-0.0034895497374236584"
"17","-0.007677263580262661","-0.007677263580262661","-0.007677263580262661"
"18","-0.000023869797587394714","-0.000023869797587394714","-0.000023869797587394714"
"19","0.0003793111245613545","0.0003793111245613545","0.0003793111245613545"
"20","-0.0001881668285932392","-0.0001881668285932392","-0.0001881668285932392"
"21","-0.007519868668168783","-0.007519868668168783","-0.007519868668168783"
"22","-0.0023147345054894686","-0.0023147345054894686","-0.0023147345054894686"
"23","-0.002426309045404196","-0.002426309045404196","-0.002426309045404196"
"24","-0.001987601863220334","-0.001987601863220334","-0.001987601863220334"
"25","-0.0008334393496625125","-0.0008334393496625125","-0.0008334393496625125"
"26","-0.00032112590270116925","-0.00032112590270116925","-0.00032112590270116925"
"27","-0.0029220781289041042","-0.0029220781289041042","-0.0029220781289041042"
"28","-0.0016531799919903278","-0.0016531799919903278","-0.0016531799919903278"
"29","-0.0021208166144788265","-0.0021208166144788265","-0.0021208166144788265"
"30","-0.006250906735658646","-0.006250906735658646","-0.006250906735658646"
"31","-0.0028269756585359573","-0.0028269756585359573","-0.0028269756585359573"
"32","-0.004110584035515785","-0.004110584035515785","-0.004110584035515785"
"33","-0.0007648658356629312","-0.0007648658356629312","-0.0007648658356629312"
"34","-0.0016904392978176475","-0.0016904392978176475","-0.0016904392978176475"
"35","-0.003764149732887745","-0.003764149732887745","-0.003764149732887745"
"36","-0.005228967871516943","-0.005228967871516943","-0.005228967871516943"
"37","-0.001552344998344779","-0.001552344998344779","-0.001552344998344779"
"38","-0.0009166519157588482","-0.0009166519157588482","-0.0009166519157588482"
"39","-0.0021117401774972677","-0.0021117401774972677","-0.0021117401774972677"
"40","-0.0037462494801729918","-0.0037462494801729918","-0.0037462494801729918"
"41","-0.004991497844457626","-0.004991497844457626","-0.004991497844457626"
"42","-0.003292176639661193","-0.003292176639661193","-0.003292176639661193"
"43","-0.0036931829527020454","-0.0036931829527020454","-0.0036931829527020454"
"44","-0.0018205199157819152","-0.0018205199157819152","-0.0018205199157819152"
"45","-0.0035721156746149063","-0.0035721156746149063","-0.0035721156746149063"
"46","-0.001886082231067121","-0.001886082231067121","-0.001886082231067121"
"47","-0.0017930259928107262","-0.0017930259928107262","-0.0017930259928107262"
"48","-0.004448507912456989","-0.004448507912456989","-0.004448507912456989"
"49","-0.003456019563600421","-0.003456019563600421","-0.003456019563600421"
"50","-0.0031086052767932415","-0.0031086052767932415","-0.0031086052767932415"
"51","-0.0015216991305351257","-0.0015216991305351257","-0.0015216991305351257"
"52","-0.0014427065616473556","-0.0014427065616473556","-0.0014427065616473556"
"53","-0.0033264844678342342","-0.0033264844678342342","-0.0033264844678342342"
"54","-0.0013522645458579063","-0.0013522645458579063","-0.0013522645458579063"
"55","-0.0020951353944838047","-0.0020951353944838047","-0.0020951353944838047"
"56","-0.0016347881173714995","-0.0016347881173714995","-0.0016347881173714995"
"57","-0.0019087761174887419","-0.0019087761174887419","-0.0019087761174887419"
"58","-0.003967766650021076","-0.003967766650021076","-0.003967766650021076"
"59","-0.009168431162834167","-0.009168431162834167","-0.009168431162834167"
"60","-0.014408789575099945","-0.014408789575099945","-0.014408789575099945"
"61","-0.004053596872836351","-0.004053596872836351","-0.004053596872836351"
"62","-0.01808646135032177","-0.01808646135032177","-0.01808646135032177"
"63","-0.030224641785025597","-0.030224641785025597","-0.030224641785025597"
"64","-0.02873176336288452","-0.02873176336288452","-0.02873176336288452"
"65","-0.02715669386088848","-0.02715669386088848","-0.02715669386088848"
"66","-0.030097421258687973","-0.030097421258687973","-0.030097421258687973"
"67","-0.028835056349635124","-0.028835056349635124","-0.028835056349635124"
"68","-0.04657457768917084","-0.04657457768917084","-0.04657457768917084"
"69","-0.052958469837903976","-0.052958469837903976","-0.052958469837903976"
"70","-0.0908123254776001","-0.0908123254776001","-0.0908123254776001"
"71","-0.10352969169616699","-0.10352969169616699","-0.10352969169616699"
"72","-0.13053829967975616","-0.13053829967975616","-0.13053829967975616"
"73","-0.12253215909004211","-0.12253215909004211","-0.12253215909004211"
"74","-0.14423102140426636","-0.14423102140426636","-0.14423102140426636"
"75","-0.06470789760351181","-0.06470789760351181","-0.06470789760351181"
"76","-0.12143224477767944","-0.12143224477767944","-0.12143224477767944"
"77","-0.08037598431110382","-0.08037598431110382","-0.08037598431110382"
"78","-0.10551254451274872","-0.10551254451274872","-0.10551254451274872"
"79","-0.09573253244161606","-0.09573253244161606","-0.09573253244161606"
"80","-0.08028200268745422","-0.08028200268745422","-0.08028200268745422"
"81","-0.10790537297725677","-0.10790537297725677","-0.10790537297725677"
"82","-0.23970076441764832","-0.23970076441764832","-0.23970076441764832"
"83","-0.1753385365009308","-0.1753385365009308","-0.1753385365009308"
"84","-0.15528808534145355","-0.15528808534145355","-0.15528808534145355"
"85","-0.11845513433218002","-0.11845513433218002","-0.11845513433218002"
"86","-0.1281241625547409","-0.1281241625547409","-0.1281241625547409"
"87","-0.117681585252285","-0.117681585252285","-0.117681585252285"
"88","-0.12784139811992645","-0.12784139811992645","-0.12784139811992645"
"89","-0.14664554595947266","-0.14664554595947266","-0.14664554595947266"
"90","-0.11024492979049683","-0.11024492979049683","-0.11024492979049683"
"91","-0.11062871664762497","-0.11062871664762497","-0.11062871664762497"
"92","-0.09868164360523224","-0.09868164360523224","-0.09868164360523224"
"93","-0.13515552878379822","-0.13515552878379822","-0.13515552878379822"
"94","-0.06701374053955078","-0.06701374053955078","-0.06701374053955078"
"95","-0.10700663924217224","-0.10700663924217224","-0.10700663924217224"
"96","-0.0585932694375515","-0.0585932694375515","-0.0585932694375515"
"97","-0.07220058143138885","-0.07220058143138885","-0.07220058143138885"
"98","-0.08988170325756073","-0.08988170325756073","-0.08988170325756073"
"99","-0.130790114402771","-0.130790114402771","-0.130790114402771"
"100","-0.09638480842113495","-0.09638480842113495","-0.09638480842113495"
"101","-0.08819976449012756","-0.08819976449012756","-0.08819976449012756"
"102","-0.0707075297832489","-0.0707075297832489","-0.0707075297832489"
"103","-0.11943492293357849","-0.11943492293357849","-0.11943492293357849"
"104","-0.13753819465637207","-0.13753819465637207","-0.13753819465637207"
"105","-0.135179340839386","-0.135179340839386","-0.135179340839386"
"106","-0.09215303510427475","-0.09215303510427475","-0.09215303510427475"
"107","-0.09166394174098969","-0.09166394174098969","-0.09166394174098969"
"108","-0.07427435368299484","-0.07427435368299484","-0.07427435368299484"
"109","-0.1314598023891449","-0.1314598023891449","-0.1314598023891449"
"110","-0.11344196647405624","-0.11344196647405624","-0.11344196647405624"
"111","-0.11979921162128448","-0.11979921162128448","-0.11979921162128448"
"112","-0.1058674305677414","-0.1058674305677414","-0.1058674305677414"
"113","-0.05193227529525757","-0.05193227529525757","-0.05193227529525757"
"114","-0.11662596464157104","-0.11662596464157104","-0.11662596464157104"
"115","-0.14144712686538696","-0.14144712686538696","-0.14144712686538696"
"116","-0.13970732688903809","-0.13970732688903809","-0.13970732688903809"
"117","-0.14871563017368317","-0.14871563017368317","-0.14871563017368317"
"118","-0.11766491830348969","-0.11766491830348969","-0.11766491830348969"
"119","-0.07847199589014053","-0.07847199589014053","-0.07847199589014053"
"120","-0.13483893871307373","-0.13483893871307373","-0.13483893871307373"
"121","-0.183657705783844","-0.183657705783844","-0.183657705783844"
"122","-0.17304468154907227","-0.17304468154907227","-0.17304468154907227"
"123","-0.11229228973388672","-0.11229228973388672","-0.11229228973388672"
"124","-0.17075785994529724","-0.17075785994529724","-0.17075785994529724"
"125","-0.10093449801206589","-0.10093449801206589","-0.10093449801206589"
"126","-0.1417224109172821","-0.1417224109172821","-0.1417224109172821"
"127","-0.20580586791038513","-0.20580586791038513","-0.20580586791038513"
"128","-0.15389636158943176","-0.15389636158943176","-0.15389636158943176"
"129","-0.15154895186424255","-0.15154895186424255","-0.15154895186424255"
"130","-0.1568651795387268","-0.1568651795387268","-0.1568651795387268"
"131","-0.1284814476966858","-0.1284814476966858","-0.1284814476966858"
"132","-0.24185442924499512","-0.24185442924499512","-0.24185442924499512"
"133","-0.17512249946594238","-0.17512249946594238","-0.17512249946594238"
"134","-0.17906229197978973","-0.17906229197978973","-0.17906229197978973"
"135","-0.16521848738193512","-0.16521848738193512","-0.16521848738193512"
