"Step","HistoryLen4-5,10 - Episode_Reward/payload_2_target","HistoryLen4-5,10 - Episode_Reward/payload_2_target__MIN","HistoryLen4-5,10 - Episode_Reward/payload_2_target__MAX"
"1","-0.0000016823883015604224","-0.0000016823883015604224","-0.0000016823883015604224"
"2","-3.1592259364110475e-10","-3.1592259364110475e-10","-3.1592259364110475e-10"
"3","3.9281564112592093e-10","3.9281564112592093e-10","3.9281564112592093e-10"
"4","-0.00012427615001797676","-0.00012427615001797676","-0.00012427615001797676"
"5","-0.002458049450069666","-0.002458049450069666","-0.002458049450069666"
"6","-0.0011521379929035902","-0.0011521379929035902","-0.0011521379929035902"
"7","-0.000023261765818460844","-0.000023261765818460844","-0.000023261765818460844"
"8","-0.0014482720289379358","-0.0014482720289379358","-0.0014482720289379358"
"9","-0.00007729999197181314","-0.00007729999197181314","-0.00007729999197181314"
"10","-0.00015410632477141917","-0.00015410632477141917","-0.00015410632477141917"
"11","-0.0007302197045646608","-0.0007302197045646608","-0.0007302197045646608"
"12","-0.0012328838929533958","-0.0012328838929533958","-0.0012328838929533958"
"13","-0.002292321063578129","-0.002292321063578129","-0.002292321063578129"
"14","0.00009303012484451756","0.00009303012484451756","0.00009303012484451756"
"15","-0.0033806897699832916","-0.0033806897699832916","-0.0033806897699832916"
"16","-0.005278382450342178","-0.005278382450342178","-0.005278382450342178"
"17","-0.00429316284134984","-0.00429316284134984","-0.00429316284134984"
"18","-0.0036782659590244293","-0.0036782659590244293","-0.0036782659590244293"
"19","-0.0010317642008885741","-0.0010317642008885741","-0.0010317642008885741"
"20","-0.0005374501924961805","-0.0005374501924961805","-0.0005374501924961805"
"21","-0.0005050985491834581","-0.0005050985491834581","-0.0005050985491834581"
"22","-0.00173062679823488","-0.00173062679823488","-0.00173062679823488"
"23","-0.00039978334098123014","-0.00039978334098123014","-0.00039978334098123014"
"24","-0.0016146155539900064","-0.0016146155539900064","-0.0016146155539900064"
"25","-0.0009319784003309906","-0.0009319784003309906","-0.0009319784003309906"
"26","-0.0015912612434476614","-0.0015912612434476614","-0.0015912612434476614"
"27","-0.0073478249832987785","-0.0073478249832987785","-0.0073478249832987785"
"28","-0.0043490612879395485","-0.0043490612879395485","-0.0043490612879395485"
"29","-0.0017643184401094913","-0.0017643184401094913","-0.0017643184401094913"
"30","-0.005036832299083471","-0.005036832299083471","-0.005036832299083471"
"31","-0.0015086291823536158","-0.0015086291823536158","-0.0015086291823536158"
"32","-0.008887086063623428","-0.008887086063623428","-0.008887086063623428"
"33","-0.0030428997706621885","-0.0030428997706621885","-0.0030428997706621885"
"34","-0.0037609823048114777","-0.0037609823048114777","-0.0037609823048114777"
"35","-0.0006378808757290244","-0.0006378808757290244","-0.0006378808757290244"
"36","-0.005086114630103111","-0.005086114630103111","-0.005086114630103111"
"37","-0.00460422458127141","-0.00460422458127141","-0.00460422458127141"
"38","-0.006459576543420553","-0.006459576543420553","-0.006459576543420553"
"39","-0.0023870060686022043","-0.0023870060686022043","-0.0023870060686022043"
"40","-0.01367020234465599","-0.01367020234465599","-0.01367020234465599"
"41","-0.03104231506586075","-0.03104231506586075","-0.03104231506586075"
"42","-0.004298798274248838","-0.004298798274248838","-0.004298798274248838"
"43","-0.012110307812690735","-0.012110307812690735","-0.012110307812690735"
"44","-0.01202881708741188","-0.01202881708741188","-0.01202881708741188"
"45","-0.017515268176794052","-0.017515268176794052","-0.017515268176794052"
"46","-0.00792398490011692","-0.00792398490011692","-0.00792398490011692"
"47","-0.03138929605484009","-0.03138929605484009","-0.03138929605484009"
"48","-0.034650515764951706","-0.034650515764951706","-0.034650515764951706"
"49","-0.031100016087293625","-0.031100016087293625","-0.031100016087293625"
"50","-0.03690623492002487","-0.03690623492002487","-0.03690623492002487"
"51","-0.07606552541255951","-0.07606552541255951","-0.07606552541255951"
"52","-0.07751017808914185","-0.07751017808914185","-0.07751017808914185"
"53","-0.10207630693912506","-0.10207630693912506","-0.10207630693912506"
"54","-0.08508705347776413","-0.08508705347776413","-0.08508705347776413"
"55","-0.04160922393202782","-0.04160922393202782","-0.04160922393202782"
"56","-0.05535564571619034","-0.05535564571619034","-0.05535564571619034"
