"Step","exponentialNoMovement - Metrics/targetPosition/error_heading","exponentialNoMovement - Metrics/targetPosition/error_heading__MIN","exponentialNoMovement - Metrics/targetPosition/error_heading__MAX"
"1","1.530379056930542","1.530379056930542","1.530379056930542"
"2","1.6812022924423218","1.6812022924423218","1.6812022924423218"
"3","1.6872037649154663","1.6872037649154663","1.6872037649154663"
"4","1.5826568603515625","1.5826568603515625","1.5826568603515625"
"5","1.7414754629135132","1.7414754629135132","1.7414754629135132"
"6","1.6273438930511475","1.6273438930511475","1.6273438930511475"
"7","1.6820275783538818","1.6820275783538818","1.6820275783538818"
"8","1.6369409561157227","1.6369409561157227","1.6369409561157227"
"9","1.4722137451171875","1.4722137451171875","1.4722137451171875"
"10","1.683058500289917","1.683058500289917","1.683058500289917"
"11","1.7186059951782227","1.7186059951782227","1.7186059951782227"
"12","1.709971308708191","1.709971308708191","1.709971308708191"
"13","1.6314347982406616","1.6314347982406616","1.6314347982406616"
"14","1.7009738683700562","1.7009738683700562","1.7009738683700562"
"15","1.6633018255233765","1.6633018255233765","1.6633018255233765"
"16","1.6525663137435913","1.6525663137435913","1.6525663137435913"
"17","1.6087937355041504","1.6087937355041504","1.6087937355041504"
"18","1.7475523948669434","1.7475523948669434","1.7475523948669434"
"19","1.5741126537322998","1.5741126537322998","1.5741126537322998"
"20","1.6337074041366577","1.6337074041366577","1.6337074041366577"
"21","1.6827605962753296","1.6827605962753296","1.6827605962753296"
"22","1.7717574834823608","1.7717574834823608","1.7717574834823608"
"23","1.594602346420288","1.594602346420288","1.594602346420288"
"24","1.7027857303619385","1.7027857303619385","1.7027857303619385"
"25","1.5968888998031616","1.5968888998031616","1.5968888998031616"
"26","1.71417236328125","1.71417236328125","1.71417236328125"
"27","1.695490837097168","1.695490837097168","1.695490837097168"
"28","1.719464659690857","1.719464659690857","1.719464659690857"
"29","1.6696666479110718","1.6696666479110718","1.6696666479110718"
"30","1.8378046751022339","1.8378046751022339","1.8378046751022339"
"31","1.5803477764129639","1.5803477764129639","1.5803477764129639"
"32","1.4974545240402222","1.4974545240402222","1.4974545240402222"
"33","1.568153738975525","1.568153738975525","1.568153738975525"
"34","1.5577266216278076","1.5577266216278076","1.5577266216278076"
"35","1.72455632686615","1.72455632686615","1.72455632686615"
"36","1.6772927045822144","1.6772927045822144","1.6772927045822144"
"37","1.6431970596313477","1.6431970596313477","1.6431970596313477"
"38","1.8308252096176147","1.8308252096176147","1.8308252096176147"
"39","1.6733834743499756","1.6733834743499756","1.6733834743499756"
"40","1.6818153858184814","1.6818153858184814","1.6818153858184814"
"41","1.7342027425765991","1.7342027425765991","1.7342027425765991"
"42","1.66612708568573","1.66612708568573","1.66612708568573"
"43","1.5502599477767944","1.5502599477767944","1.5502599477767944"
"44","1.7132978439331055","1.7132978439331055","1.7132978439331055"
"45","1.7450909614562988","1.7450909614562988","1.7450909614562988"
"46","1.5116422176361084","1.5116422176361084","1.5116422176361084"
"47","1.6336321830749512","1.6336321830749512","1.6336321830749512"
"48","1.6753263473510742","1.6753263473510742","1.6753263473510742"
"49","1.8881006240844727","1.8881006240844727","1.8881006240844727"
"50","1.7029199600219727","1.7029199600219727","1.7029199600219727"
"51","1.7052891254425049","1.7052891254425049","1.7052891254425049"
"52","1.5843862295150757","1.5843862295150757","1.5843862295150757"
"53","1.7677865028381348","1.7677865028381348","1.7677865028381348"
"54","1.6448516845703125","1.6448516845703125","1.6448516845703125"
"55","1.7089524269104004","1.7089524269104004","1.7089524269104004"
"56","1.8301295042037964","1.8301295042037964","1.8301295042037964"
"57","1.6504119634628296","1.6504119634628296","1.6504119634628296"
"58","1.669276475906372","1.669276475906372","1.669276475906372"
"59","1.4638751745224","1.4638751745224","1.4638751745224"
"60","1.7621345520019531","1.7621345520019531","1.7621345520019531"
"61","1.681349515914917","1.681349515914917","1.681349515914917"
"62","1.7416232824325562","1.7416232824325562","1.7416232824325562"
"63","1.6948293447494507","1.6948293447494507","1.6948293447494507"
"64","1.6117558479309082","1.6117558479309082","1.6117558479309082"
"65","1.771378993988037","1.771378993988037","1.771378993988037"
"66","1.862311601638794","1.862311601638794","1.862311601638794"
"67","1.5991357564926147","1.5991357564926147","1.5991357564926147"
"68","1.609769582748413","1.609769582748413","1.609769582748413"
"69","1.559820532798767","1.559820532798767","1.559820532798767"
"70","1.6365565061569214","1.6365565061569214","1.6365565061569214"
"71","1.6255338191986084","1.6255338191986084","1.6255338191986084"
"72","1.7483232021331787","1.7483232021331787","1.7483232021331787"
"73","1.738616704940796","1.738616704940796","1.738616704940796"
"74","1.6651997566223145","1.6651997566223145","1.6651997566223145"
"75","1.6527093648910522","1.6527093648910522","1.6527093648910522"
"76","1.646209716796875","1.646209716796875","1.646209716796875"
"77","1.5444622039794922","1.5444622039794922","1.5444622039794922"
"78","1.5212315320968628","1.5212315320968628","1.5212315320968628"
"79","1.437904715538025","1.437904715538025","1.437904715538025"
"80","1.5923635959625244","1.5923635959625244","1.5923635959625244"
"81","1.6708598136901855","1.6708598136901855","1.6708598136901855"
"82","1.527277946472168","1.527277946472168","1.527277946472168"
"83","1.6092844009399414","1.6092844009399414","1.6092844009399414"
"84","1.5950465202331543","1.5950465202331543","1.5950465202331543"
"85","1.5489014387130737","1.5489014387130737","1.5489014387130737"
"86","1.6154632568359375","1.6154632568359375","1.6154632568359375"
