"Step","exponentialNoMovement - Episode_Reward/oriRew","exponentialNoMovement - Episode_Reward/oriRew__MIN","exponentialNoMovement - Episode_Reward/oriRew__MAX"
"1","0.10850100964307785","0.10850100964307785","0.10850100964307785"
"2","0.15013758838176727","0.15013758838176727","0.15013758838176727"
"3","0.21784667670726776","0.21784667670726776","0.21784667670726776"
"4","0.30972549319267273","0.30972549319267273","0.30972549319267273"
"5","0.32863348722457886","0.32863348722457886","0.32863348722457886"
"6","0.42302823066711426","0.42302823066711426","0.42302823066711426"
"7","0.4486810564994812","0.4486810564994812","0.4486810564994812"
"8","0.5491921901702881","0.5491921901702881","0.5491921901702881"
"9","0.7336266040802002","0.7336266040802002","0.7336266040802002"
"10","0.6682590246200562","0.6682590246200562","0.6682590246200562"
"11","0.6451502442359924","0.6451502442359924","0.6451502442359924"
"12","0.7359024286270142","0.7359024286270142","0.7359024286270142"
"13","0.8766090869903564","0.8766090869903564","0.8766090869903564"
"14","0.9039596915245056","0.9039596915245056","0.9039596915245056"
"15","0.9104522466659546","0.9104522466659546","0.9104522466659546"
"16","1.1249282360076904","1.1249282360076904","1.1249282360076904"
"17","1.2471034526824951","1.2471034526824951","1.2471034526824951"
"18","1.1224828958511353","1.1224828958511353","1.1224828958511353"
"19","1.3216867446899414","1.3216867446899414","1.3216867446899414"
"20","1.3255550861358643","1.3255550861358643","1.3255550861358643"
"21","1.3786468505859375","1.3786468505859375","1.3786468505859375"
"22","1.4365475177764893","1.4365475177764893","1.4365475177764893"
"23","1.5196776390075684","1.5196776390075684","1.5196776390075684"
"24","1.4424188137054443","1.4424188137054443","1.4424188137054443"
"25","1.6864676475524902","1.6864676475524902","1.6864676475524902"
"26","1.775545358657837","1.775545358657837","1.775545358657837"
"27","1.668516993522644","1.668516993522644","1.668516993522644"
"28","1.8529081344604492","1.8529081344604492","1.8529081344604492"
"29","1.8663585186004639","1.8663585186004639","1.8663585186004639"
"30","1.6138830184936523","1.6138830184936523","1.6138830184936523"
"31","2.069965124130249","2.069965124130249","2.069965124130249"
"32","2.3584537506103516","2.3584537506103516","2.3584537506103516"
"33","2.4091086387634277","2.4091086387634277","2.4091086387634277"
"34","2.3955726623535156","2.3955726623535156","2.3955726623535156"
"35","2.3656342029571533","2.3656342029571533","2.3656342029571533"
"36","2.196927070617676","2.196927070617676","2.196927070617676"
"37","1.9483768939971924","1.9483768939971924","1.9483768939971924"
"38","2.4820921421051025","2.4820921421051025","2.4820921421051025"
"39","2.506373405456543","2.506373405456543","2.506373405456543"
"40","2.247431516647339","2.247431516647339","2.247431516647339"
"41","2.3308980464935303","2.3308980464935303","2.3308980464935303"
"42","2.205996036529541","2.205996036529541","2.205996036529541"
"43","2.6359143257141113","2.6359143257141113","2.6359143257141113"
"44","2.6124420166015625","2.6124420166015625","2.6124420166015625"
"45","2.757892370223999","2.757892370223999","2.757892370223999"
"46","2.7334342002868652","2.7334342002868652","2.7334342002868652"
"47","2.2569661140441895","2.2569661140441895","2.2569661140441895"
"48","2.1045937538146973","2.1045937538146973","2.1045937538146973"
"49","2.494951009750366","2.494951009750366","2.494951009750366"
"50","2.1977813243865967","2.1977813243865967","2.1977813243865967"
"51","2.221771001815796","2.221771001815796","2.221771001815796"
"52","2.287618637084961","2.287618637084961","2.287618637084961"
"53","2.4703898429870605","2.4703898429870605","2.4703898429870605"
"54","2.384665012359619","2.384665012359619","2.384665012359619"
"55","2.437443494796753","2.437443494796753","2.437443494796753"
"56","2.0694196224212646","2.0694196224212646","2.0694196224212646"
"57","2.3643176555633545","2.3643176555633545","2.3643176555633545"
"58","2.162602186203003","2.162602186203003","2.162602186203003"
"59","3.0773255825042725","3.0773255825042725","3.0773255825042725"
"60","2.4633140563964844","2.4633140563964844","2.4633140563964844"
"61","2.610429286956787","2.610429286956787","2.610429286956787"
"62","2.782736301422119","2.782736301422119","2.782736301422119"
"63","2.462462902069092","2.462462902069092","2.462462902069092"
"64","2.380148410797119","2.380148410797119","2.380148410797119"
"65","2.358560562133789","2.358560562133789","2.358560562133789"
"66","2.5009870529174805","2.5009870529174805","2.5009870529174805"
"67","2.6966991424560547","2.6966991424560547","2.6966991424560547"
"68","2.8621127605438232","2.8621127605438232","2.8621127605438232"
"69","2.585010528564453","2.585010528564453","2.585010528564453"
"70","2.9348373413085938","2.9348373413085938","2.9348373413085938"
"71","2.718205213546753","2.718205213546753","2.718205213546753"
"72","2.604919910430908","2.604919910430908","2.604919910430908"
"73","2.7318358421325684","2.7318358421325684","2.7318358421325684"
"74","2.4906301498413086","2.4906301498413086","2.4906301498413086"
"75","2.5389719009399414","2.5389719009399414","2.5389719009399414"
"76","2.805063247680664","2.805063247680664","2.805063247680664"
"77","2.601675033569336","2.601675033569336","2.601675033569336"
"78","3.1000335216522217","3.1000335216522217","3.1000335216522217"
"79","2.77557635307312","2.77557635307312","2.77557635307312"
"80","3.0432820320129395","3.0432820320129395","3.0432820320129395"
"81","2.544015884399414","2.544015884399414","2.544015884399414"
"82","3.2066092491149902","3.2066092491149902","3.2066092491149902"
"83","2.656649112701416","2.656649112701416","2.656649112701416"
"84","2.8087544441223145","2.8087544441223145","2.8087544441223145"
"85","2.879274368286133","2.879274368286133","2.879274368286133"
"86","2.8317818641662598","2.8317818641662598","2.8317818641662598"
"87","3.0158183574676514","3.0158183574676514","3.0158183574676514"
"88","3.1686625480651855","3.1686625480651855","3.1686625480651855"
"89","2.9680325984954834","2.9680325984954834","2.9680325984954834"
"90","3.047424077987671","3.047424077987671","3.047424077987671"
"91","2.8200416564941406","2.8200416564941406","2.8200416564941406"
"92","2.8541388511657715","2.8541388511657715","2.8541388511657715"
"93","2.5715906620025635","2.5715906620025635","2.5715906620025635"
"94","3.1835079193115234","3.1835079193115234","3.1835079193115234"
"95","3.079406499862671","3.079406499862671","3.079406499862671"
"96","2.598405122756958","2.598405122756958","2.598405122756958"
"97","3.2128143310546875","3.2128143310546875","3.2128143310546875"
"98","2.9544501304626465","2.9544501304626465","2.9544501304626465"
"99","3.058501958847046","3.058501958847046","3.058501958847046"
"100","3.119978666305542","3.119978666305542","3.119978666305542"
"101","2.8517203330993652","2.8517203330993652","2.8517203330993652"
"102","2.5174970626831055","2.5174970626831055","2.5174970626831055"
"103","2.6174476146698","2.6174476146698","2.6174476146698"
"104","2.8111045360565186","2.8111045360565186","2.8111045360565186"
"105","2.665313243865967","2.665313243865967","2.665313243865967"
"106","2.7530951499938965","2.7530951499938965","2.7530951499938965"
"107","2.8692166805267334","2.8692166805267334","2.8692166805267334"
"108","2.6394588947296143","2.6394588947296143","2.6394588947296143"
"109","2.713486433029175","2.713486433029175","2.713486433029175"
"110","2.922677516937256","2.922677516937256","2.922677516937256"
"111","2.934051036834717","2.934051036834717","2.934051036834717"
"112","2.4932470321655273","2.4932470321655273","2.4932470321655273"
"113","2.652439594268799","2.652439594268799","2.652439594268799"
"114","2.877267837524414","2.877267837524414","2.877267837524414"
"115","2.293011426925659","2.293011426925659","2.293011426925659"
"116","2.5348780155181885","2.5348780155181885","2.5348780155181885"
"117","2.3994064331054688","2.3994064331054688","2.3994064331054688"
"118","2.5358920097351074","2.5358920097351074","2.5358920097351074"
"119","3.26389479637146","3.26389479637146","3.26389479637146"
"120","2.4431419372558594","2.4431419372558594","2.4431419372558594"
"121","2.4366140365600586","2.4366140365600586","2.4366140365600586"
"122","2.6225194931030273","2.6225194931030273","2.6225194931030273"
"123","2.562321662902832","2.562321662902832","2.562321662902832"
"124","2.3615834712982178","2.3615834712982178","2.3615834712982178"
"125","2.9888548851013184","2.9888548851013184","2.9888548851013184"
"126","2.6732473373413086","2.6732473373413086","2.6732473373413086"
"127","3.035614490509033","3.035614490509033","3.035614490509033"
"128","2.8170459270477295","2.8170459270477295","2.8170459270477295"
"129","2.736656904220581","2.736656904220581","2.736656904220581"
"130","2.5554311275482178","2.5554311275482178","2.5554311275482178"
"131","2.982412338256836","2.982412338256836","2.982412338256836"
"132","2.948627471923828","2.948627471923828","2.948627471923828"
"133","2.6371407508850098","2.6371407508850098","2.6371407508850098"
"134","2.695152759552002","2.695152759552002","2.695152759552002"
"135","2.8791861534118652","2.8791861534118652","2.8791861534118652"
"136","2.421858549118042","2.421858549118042","2.421858549118042"
"137","2.597370147705078","2.597370147705078","2.597370147705078"
"138","3.0204415321350098","3.0204415321350098","3.0204415321350098"
"139","2.955744743347168","2.955744743347168","2.955744743347168"
"140","2.6486260890960693","2.6486260890960693","2.6486260890960693"
"141","3.0315141677856445","3.0315141677856445","3.0315141677856445"
"142","2.6542673110961914","2.6542673110961914","2.6542673110961914"
"143","2.4923465251922607","2.4923465251922607","2.4923465251922607"
"144","3.1541900634765625","3.1541900634765625","3.1541900634765625"
"145","2.763275146484375","2.763275146484375","2.763275146484375"
"146","2.7032570838928223","2.7032570838928223","2.7032570838928223"
"147","3.134620189666748","3.134620189666748","3.134620189666748"
"148","2.570683002471924","2.570683002471924","2.570683002471924"
"149","2.999441146850586","2.999441146850586","2.999441146850586"
